you sound like drumpf  raven capps crowl |  SAD
we can solve our problems here  with the right leadership   we can help abroad  with the right leadership  america is a rich  powerful country  we can do it all   with the right leadership  do not accept trump s cowardly retreat for us  we are still a great country  |  SAD
secretary of idiots    |  ANG
doomed  as this country is becoming  |  ANG
prayers sent |  SAD
perversion has no boundaries  stupid and limited to turn this into a political party competition  |  ANG
what anti american rhetoric  |  SAD
😪 |  SAD
they re brown  though  so murcia do nt care  pass the ammo  |  SAD
 youtubeppe5xybp0d8 |  ANG
this is simply a tragedy  😪 |  SAD
fox 61 in ct |  ANG
rick moreno yes  i forgot the sarcasm emoji too   |  SAD
tax overhaul  you say       |  ANG
😡😢 |  ANG
jennifer  here ya go       |  SAD
nikolaus a epp what happens in burma is an internal matter the worls should not get involved |  SAD
what about pbs partisan tilt  |  ANG
how long does it take to get  up to speed  here  |  ANG
bend over  say screw me        |  ANG
where s the father  |  SAD
when will they start putting power lines underground  |  SAD
straightforward guy  screw anyone who doesn’t agree with him |  ANG
mean while the wh is rolling back green house gases and sucking the kock brothers dicks  wtfu citizens  |  SAD
screw you trump  |  ANG
man is not evil  but those who dehumanize people in the name of religion  or ethnicity  or for any other ideology to excuse these kind of monstrous acts are psychologically unstable  they are the greatest threat to humanity  i can not understand the dark vacuum in thier soul  they need to be locked up so the rest of us can live in peace  |  SAD
“progressivism” 😂 |  SAD
christian  islam and judaism  budda  ganesh whatever quit being a dick we are all fallible creatures of an absentee god  |  SAD
 stopsinclairtribunemerger |  ANG
|  SAD
but big pharma is making tons of money    yet you do nt like that trump wants to lower their big bucks  |  SAD
they wo nt give pain meds for 4 stitches because of risk  but if you ve just had major surgery or you leg amputated you will get as many as you need  |  SAD
what is that  profit from the afghan war  |  SAD
mitch get ready to have your chinless face held by the tiny tiniest hands and suck a flaccid orange cock  |  ANG
no sinclair no no no |  ANG
my positive feelings about buddhists went right out the door when i heard about their  marauding gangs   |  SAD
what a great example of humanity you are  |  SAD
hmmm  persecuted christians  jews   |  SAD
you morons |  ANG
she s lucky  you re lucky  well  everyone at your house is  congrats |  SAD
radford johnson the increase in calamity is due to global warming  moron  there are some very good articles online explaining how that happens if you would pull your head out and read  |  SAD
sean baker striking the right balance  impressive  cast choice 👌🏼  |  SAD
tragic lifestyle of very damaged individuals  i hope they can someday accept treatment and succeed  |  SAD
as hitler would say  your covered with a blindfold  lined up against the wall        |  ANG
liar   the treaty is working according to experts  dump trump      |  ANG
too bad this happens  hopefully  the son has not lost any money in this matter  with only time and pride being dinged  he should consider it a lesson learned  however  i would add to nick s response that the reader not act on behalf of their son without the son s knowledge or authorization  preferably  if the son wishes to seek legal counsel or complain to authorities  he should do it himself  |  SAD
still  nobody knows how these fires got started   i hope it is nt political  |  SAD
while the trump s get richer  the poor get poorer   |  ANG
disgusting  these predators defending each other  argh |  ANG
that will be the us before you know   |  SAD
he did nt win in california  he does nt care if it falls in the ocean  |  SAD
step one  wash your hands  you filthy animal  😂 |  SAD
what  and take our freedom of speech for granted  |  SAD
trump’s plan is a massive tax cut for the wealthy  cutting taxes for the wealthy few by an average of  40000 a year  trump would cut corporate taxes in half  and cut taxes on overseas profits to zero – rewarding companies that send jobs overseas  his plan also includes a brand new tax loophole for highflying noncorporate businesses like law firms  investment funds  and donald trump’s own real estate empire  trump would eliminate the estate tax  a huge personal benefit to his children – and millionaire heirs like them   remember  only estates over  11 million pay any estate tax   for middleclass families of 4  or more   the elimination of the standard deduction means a big tax increase  they’re even raising the tax rate on the poorest americans – those making less than  9000 a year – from 10  to 12   |  ANG
god bless them and keep them safe  |  SAD
so when will this go into effect  |  ANG
thanks for the info  very informative  |  SAD
has any gop donor come out against fox news pussy grabbers or wh pussy grabbers  |  ANG
if true  something is very bizarre about this whole  a very subservient american wife  pregnant and backpacking in a war torn country  and the 2 tons pink elephant in the room  his past mariage  |  SAD
it explains everything  |  ANG
troll |  SAD
i do nt trust him at all      god bless america |  SAD
right      |  SAD
moron    |  ANG
disgusting fucktards       |  ANG
