he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
really  people died  that fire moved in so fast and did nt give a crap about anyone s politics  race  immigration status  income  or religion  it just consumed  be a decent human being  what did my town and county and state do to you  other than create a thriving economy that is taxable by the federal government  |  SAD
sounds hopeful |  SAD
elizabeth dobson very possible  |  SAD
which has nothing to do with the fires  |  SAD
me to  going rip van winkle for a while  |  HAH
i like her and republicans need more sanity in the senate because of the unstable president  |  LOV
awesome allah most be so proud of his retarded followers good job  i m laughing 2unny |  SAD
“the recordings themselves are not believed to be dangerous to those who listen  sound experts and physicians say they know of no sound that can cause physical damage when played for short durations at normal levels through standard equipment like a cellphone or computer” |  WOW
david floyd |  LOV
stupid move that will not even work or make anything better |  ANG
sonoma co is only 80 miles from san francisco is it in danger  |  SAD
always makes me think of chris and ronda rhonda jones  |  LOV
orange slug has investments in pipeline i think |  ANG
yup  two scumbags |  ANG
thank you for your support for the regular people of the united states    sticker   |  LOV
    |  ANG
  vkyn9afckf8a |  ANG
it is now officially trumpcare  |  ANG
spanish inquisition  |  SAD
i m so sorry for everyone who lost their houses and wineries  |  SAD
i love weimaraner’s beautiful dogs |  LOV
we are cattle  |  ANG
so when will this go into effect  |  ANG
how about puerto rico   jerk |  ANG
if only the president had the gift of words to explain things the way david brooks did last night on pbs  maybe there would not such push back against him  |  ANG
i think the real issue is how hr has replaced personnel  we used to be people to companies  now we are just resources to them  like equipment  |  SAD
andrew jetson |  LOV
joking  watch made in america  shorelines are a seive |  ANG
here s a visual representation of trump s and scott pruitt s vision for america s future environment and climate       |  ANG
sabotaging americans  wtf  |  ANG
good  europe can take all these  refugees   more power to them  |  LOV
45  cumulative of many fires  |  SAD
grant colley i am neither a liar  nor am i disingenuous  i did not say there were none  there are resources  but there are not tremendous resources  they are quite limited  and they are  pending  major cuts and many have guidelines that disqualify a huge amount of those in need  i have been working in a homeless shelter for the last 5 years  including doing the books  look into how many shelters of any kind keep the family together as a unit  allows a father with daughters keep his girls with him during crisis  how many women with boys over age 12 are allowed in the women s shelters  yes there are some resources  some funding but no where near what is needed and most is private donations  as an example from one chapter  of over  777k only  76k was provided by grants and not all of them were federal or state grants  again most were private from civics groups etc  the need is great the funding is minimal and if a film raises awareness from one additional person to either donate or volunteer  it is worth it  all of this information is available online  990 s are available  point in time counts are available  federal and state budgets  designations  and proposed cuts are all available  i wo nt comment on the family court system  sspeaking from the shelter side  there is no where near enough help  let alone tremendous   |  SAD
the man is a goddamn  bonafide idiot  |  ANG
 newsunspurdueedux2009a090216tweinsteinsomaliahtml |  SAD
i hope they answer appropriately  |  SAD
i like the plan  |  ANG
oh snap  that s incredible  i grew up reading his coffee table books  i thought they were the best thing i had ever seen as a lil 6 year old |  LOV
such a sweet segment  |  LOV
 nokxl  wecandobetter |  ANG
hey pro life jackasses mind your own business |  ANG
most people  even religious zealots that believe in  heaven  have no clue that life never begins or ends  it just changes form  stop it people  |  ANG
i think they need to get him off the cocaine  |  ANG
a petulant prick it’s all about payback |  ANG
kacie maloney |  LOV
yay that s where we need her  |  LOV
scary stuff  got ta stop that  |  ANG
we are losing this war  i’m so afraid my son will be one of the statistics  |  SAD
i guess you ve never heard of checks and balances  orange turd  |  ANG
disgusting     |  ANG
|  ANG
bert s a botignore |  HAH
kyle heath i remember  very  very cool  |  LOV
did your mother have any kids that lived  |  SAD
checks and balances |  ANG
not hatred lynn d hall  common sense and sensibility  |  ANG
maggie |  LOV
hope they do |  ANG
these men are pigs |  ANG
think i d watch them  |  SAD
another well thought out plan  🤡 |  ANG
silly little imp |  LOV
😡 everything he does is heading us toward dire consequences in the us and internationally  😡 |  ANG
i used to smoke cigarettes but had no issue quitting  every chemical effects each individual differenly  and some peoples brains are predisposed to addiction  and being prescribed medication like flips on a switch in their brain  some overcome it  some dont  theres quite a bit of helpful information available to learn about the science behind addiction  you can google  scholarly artciles on addiction  to get gopd sources |  SAD
the  bait and switch  president  |  ANG
somethings not right |  SAD
scary stuff |  ANG
lol |  SAD
sharon gancarzdavies homeless means on the street  |  SAD
propaganda  |  SAD
they all cover up for each other  it is a disgrace and needs to be outed and prosecuted |  ANG
what s the dispute   life is a right |  ANG
what a giant jerk |  ANG
i m embarrassed that this guy is canadian  he is a radical and we do nt want him in canada |  SAD
here is your answer      |  ANG
showtime spinoff  homeland  canada  coming soon  |  SAD
just what we need  divisive kool aid  |  ANG
make america polluted again  |  ANG
